ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848986::Value,1075849148::Comments,1075849176::Physical Name,1075850193::Dependent Objects  [read only],1075852278::Extended Notes Order  [read only]
1075839170::1893,DF_SalesReason_ModifiedDate,Default Constraint Usage,,DF_SalesReason_ModifiedDate,getdate(),,DF_SalesReason_ModifiedDate,,
1075839170::1907,DF_SalesTaxRate_TaxRate,Default Constraint Usage,,DF_SalesTaxRate_TaxRate,0,,DF_SalesTaxRate_TaxRate,,
1075839170::1909,DF_SalesTaxRate_rowguid,Default Constraint Usage,,DF_SalesTaxRate_rowguid,newid(),,DF_SalesTaxRate_rowguid,,
1075839170::1911,DF_SalesTaxRate_ModifiedDate,Default Constraint Usage,,DF_SalesTaxRate_ModifiedDate,getdate(),,DF_SalesTaxRate_ModifiedDate,,
1075839170::1935,DF_SalesTerritory_SalesYTD,Default Constraint Usage,,DF_SalesTerritory_SalesYTD,0,,DF_SalesTerritory_SalesYTD,,
1075839170::1939,DF_SalesTerritory_SalesLastYear,Default Constraint Usage,,DF_SalesTerritory_SalesLastYear,0,,DF_SalesTerritory_SalesLastYear,,
1075839170::1943,DF_SalesTerritory_CostYTD,Default Constraint Usage,,DF_SalesTerritory_CostYTD,0,,DF_SalesTerritory_CostYTD,,
1075839170::1947,DF_SalesTerritory_CostLastYear,Default Constraint Usage,,DF_SalesTerritory_CostLastYear,0,,DF_SalesTerritory_CostLastYear,,
1075839170::1949,DF_SalesTerritory_rowguid,Default Constraint Usage,,DF_SalesTerritory_rowguid,newid(),,DF_SalesTerritory_rowguid,,
1075839170::1951,DF_SalesTerritory_ModifiedDate,Default Constraint Usage,,DF_SalesTerritory_ModifiedDate,getdate(),,DF_SalesTerritory_ModifiedDate,,
1075839170::1968,DF_SalesTerritoryHistory_rowguid,Default Constraint Usage,,DF_SalesTerritoryHistory_rowguid,newid(),,DF_SalesTerritoryHistory_rowguid,,
1075839170::1970,DF_SalesTerritoryHistory_ModifiedDate,Default Constraint Usage,,DF_SalesTerritoryHistory_ModifiedDate,getdate(),,DF_SalesTerritoryHistory_ModifiedDate,,
1075839170::1990,DF_ShoppingCartItem_Quantity,Default Constraint Usage,,DF_ShoppingCartItem_Quantity,1,,DF_ShoppingCartItem_Quantity,,
1075839170::1992,DF_ShoppingCartItem_DateCreated,Default Constraint Usage,,DF_ShoppingCartItem_DateCreated,getdate(),,DF_ShoppingCartItem_DateCreated,,
1075839170::1994,DF_ShoppingCartItem_ModifiedDate,Default Constraint Usage,,DF_ShoppingCartItem_ModifiedDate,getdate(),,DF_ShoppingCartItem_ModifiedDate,,
1075839170::2016,DF_SpecialOffer_DiscountPct,Default Constraint Usage,,DF_SpecialOffer_DiscountPct,0,,DF_SpecialOffer_DiscountPct,,
1075839170::2020,DF_SpecialOffer_MinQty,Default Constraint Usage,,DF_SpecialOffer_MinQty,0,,DF_SpecialOffer_MinQty,,
1075839170::2024,DF_SpecialOffer_rowguid,Default Constraint Usage,,DF_SpecialOffer_rowguid,newid(),,DF_SpecialOffer_rowguid,,
1075839170::2026,DF_SpecialOffer_ModifiedDate,Default Constraint Usage,,DF_SpecialOffer_ModifiedDate,getdate(),,DF_SpecialOffer_ModifiedDate,,
1075839170::2040,DF_SpecialOfferProduct_rowguid,Default Constraint Usage,,DF_SpecialOfferProduct_rowguid,newid(),,DF_SpecialOfferProduct_rowguid,,
1075839170::2042,DF_SpecialOfferProduct_ModifiedDate,Default Constraint Usage,,DF_SpecialOfferProduct_ModifiedDate,getdate(),,DF_SpecialOfferProduct_ModifiedDate,,
1075839170::2060,DF_Store_rowguid,Default Constraint Usage,,DF_Store_rowguid,newid(),,DF_Store_rowguid,,
1075839170::2062,DF_Store_ModifiedDate,Default Constraint Usage,,DF_Store_ModifiedDate,getdate(),,DF_Store_ModifiedDate,,
